2025-01-03 01:28:48,756 - managers.knowledge_manager.KnowledgeManager - ERROR - logging_util.py:159 - {"timestamp": "2025-01-03T01:28:48.756502", "error_type": "TypeError", "error_message": "Object of type Chroma is not JSON serializable", "class": "KnowledgeManager", "context": {"name": "test_kb", "domain": "test"}}
2025-01-03 01:35:56,798 - managers.knowledge_manager.KnowledgeManager - ERROR - logging_util.py:159 - {"timestamp": "2025-01-03T01:35:56.798398", "error_type": "KeyError", "error_message": "'path'", "class": "KnowledgeManager", "context": {"name": "test_kb", "domain": "test"}}
2025-01-03 01:44:00,666 - managers.knowledge_manager.KnowledgeManager - ERROR - logging_util.py:159 - {"timestamp": "2025-01-03T01:44:00.666290", "error_type": "ValueError", "error_message": "Unsupported file type: ", "class": "KnowledgeManager", "context": {"kb_name": "test_kb", "source": "test_source"}}
2025-01-03 01:44:00,695 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T01:44:00.695749", "event_type": "kb_created", "class": "KnowledgeManager", "name": "test_kb", "domain": "test", "sources": ["test_source"]}
2025-01-03 01:44:00,699 - managers.knowledge_manager.KnowledgeManager - ERROR - logging_util.py:159 - {"timestamp": "2025-01-03T01:44:00.699259", "error_type": "ValueError", "error_message": "Unsupported file type: ", "class": "KnowledgeManager", "context": {"kb_name": "test_kb", "filename": "test.txt"}}
2025-01-03 01:52:25,517 - managers.knowledge_manager.KnowledgeManager - ERROR - logging_util.py:159 - {"timestamp": "2025-01-03T01:52:25.517492", "error_type": "ValueError", "error_message": "Unsupported file type: ", "class": "KnowledgeManager", "context": {"kb_name": "test_kb", "source": "test_source"}}
2025-01-03 01:52:25,549 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T01:52:25.549666", "event_type": "kb_created", "class": "KnowledgeManager", "name": "test_kb", "domain": "test", "sources": ["test_source"]}
2025-01-03 01:52:25,569 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T01:52:25.569370", "event_type": "document_processed", "class": "KnowledgeManager", "kb_name": "test_kb", "filename": "test.txt", "doc_id": "d48fe04620553e5f31225a0fc7183512"}
2025-01-03 02:00:46,805 - managers.knowledge_manager.KnowledgeManager - ERROR - logging_util.py:159 - {"timestamp": "2025-01-03T02:00:46.805684", "error_type": "ValueError", "error_message": "Unsupported file type: ", "class": "KnowledgeManager", "context": {"kb_name": "test_kb", "source": "test_source"}}
2025-01-03 02:00:46,836 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T02:00:46.836878", "event_type": "kb_created", "class": "KnowledgeManager", "name": "test_kb", "domain": "test", "sources": ["test_source"]}
2025-01-03 02:00:46,858 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T02:00:46.858603", "event_type": "document_processed", "class": "KnowledgeManager", "kb_name": "test_kb", "filename": "test.txt", "doc_id": "d48fe04620553e5f31225a0fc7183512"}
2025-01-03 02:06:03,809 - managers.knowledge_manager.KnowledgeManager - ERROR - logging_util.py:159 - {"timestamp": "2025-01-03T02:06:03.809709", "error_type": "ValueError", "error_message": "Unsupported file type: ", "class": "KnowledgeManager", "context": {"kb_name": "test_kb", "source": "test_source"}}
2025-01-03 02:06:03,843 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T02:06:03.842959", "event_type": "kb_created", "class": "KnowledgeManager", "name": "test_kb", "domain": "test", "sources": ["test_source"]}
2025-01-03 02:06:03,864 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T02:06:03.864339", "event_type": "document_processed", "class": "KnowledgeManager", "kb_name": "test_kb", "filename": "test.txt", "doc_id": "d48fe04620553e5f31225a0fc7183512"}
2025-01-03 02:06:04,265 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T02:06:04.265370", "event_type": "kb_created", "class": "KnowledgeManager", "name": "integrated_kb", "domain": "test", "sources": []}
2025-01-03 02:20:49,248 - managers.knowledge_manager.KnowledgeManager - ERROR - logging_util.py:159 - {"timestamp": "2025-01-03T02:20:49.248757", "error_type": "ValueError", "error_message": "Unsupported file type: ", "class": "KnowledgeManager", "context": {"kb_name": "test_kb", "source": "test_source"}}
2025-01-03 02:20:49,300 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T02:20:49.300933", "event_type": "kb_created", "class": "KnowledgeManager", "name": "test_kb", "domain": "test", "sources": ["test_source"]}
2025-01-03 02:20:49,322 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T02:20:49.322816", "event_type": "document_processed", "class": "KnowledgeManager", "kb_name": "test_kb", "filename": "test.txt", "doc_id": "d48fe04620553e5f31225a0fc7183512"}
2025-01-03 02:20:49,668 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T02:20:49.668159", "event_type": "kb_created", "class": "KnowledgeManager", "name": "integrated_kb", "domain": "test", "sources": []}
2025-01-03 02:42:48,519 - managers.knowledge_manager.KnowledgeManager - ERROR - logging_util.py:159 - {"timestamp": "2025-01-03T02:42:48.519609", "error_type": "ValueError", "error_message": "Unsupported file type: ", "class": "KnowledgeManager", "context": {"kb_name": "test_kb", "source": "test_source"}}
2025-01-03 02:42:48,557 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T02:42:48.557701", "event_type": "kb_created", "class": "KnowledgeManager", "name": "test_kb", "domain": "test", "sources": ["test_source"]}
2025-01-03 02:42:48,581 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T02:42:48.581278", "event_type": "document_processed", "class": "KnowledgeManager", "kb_name": "test_kb", "filename": "test.txt", "doc_id": "d48fe04620553e5f31225a0fc7183512"}
2025-01-03 02:42:48,993 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T02:42:48.993037", "event_type": "kb_created", "class": "KnowledgeManager", "name": "integrated_kb", "domain": "test", "sources": []}
2025-01-03 02:54:33,215 - managers.knowledge_manager.KnowledgeManager - ERROR - logging_util.py:159 - {"timestamp": "2025-01-03T02:54:33.215753", "error_type": "ValueError", "error_message": "Unsupported file type: ", "class": "KnowledgeManager", "context": {"kb_name": "test_kb", "source": "test_source"}}
2025-01-03 02:54:33,249 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T02:54:33.249400", "event_type": "kb_created", "class": "KnowledgeManager", "name": "test_kb", "domain": "test", "sources": ["test_source"]}
2025-01-03 02:54:33,269 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T02:54:33.269918", "event_type": "document_processed", "class": "KnowledgeManager", "kb_name": "test_kb", "filename": "test.txt", "doc_id": "d48fe04620553e5f31225a0fc7183512"}
2025-01-03 02:54:33,638 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T02:54:33.638002", "event_type": "kb_created", "class": "KnowledgeManager", "name": "integrated_kb", "domain": "test", "sources": []}
2025-01-03 02:58:34,586 - managers.knowledge_manager.KnowledgeManager - ERROR - logging_util.py:159 - {"timestamp": "2025-01-03T02:58:34.586135", "error_type": "ValueError", "error_message": "Unsupported file type: ", "class": "KnowledgeManager", "context": {"kb_name": "test_kb", "source": "test_source"}}
2025-01-03 02:58:34,621 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T02:58:34.621269", "event_type": "kb_created", "class": "KnowledgeManager", "name": "test_kb", "domain": "test", "sources": ["test_source"]}
2025-01-03 02:58:34,641 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T02:58:34.641510", "event_type": "document_processed", "class": "KnowledgeManager", "kb_name": "test_kb", "filename": "test.txt", "doc_id": "d48fe04620553e5f31225a0fc7183512"}
2025-01-03 02:58:34,979 - managers.knowledge_manager.KnowledgeManager - INFO - logging_util.py:127 - {"timestamp": "2025-01-03T02:58:34.979610", "event_type": "kb_created", "class": "KnowledgeManager", "name": "integrated_kb", "domain": "test", "sources": []}
2025-01-03 03:19:53,106 - managers.knowledge_manager.KnowledgeManager - ERROR - logging_util.py:159 - {"timestamp": "2025-01-03T03:19:53.106078", "error_type": "ValueError", "error_message": "Unsupported file type: ", "class": "KnowledgeManager", "context": {"kb_name": "test_kb", "source": "test_source"}}
